"Q3";"Q9";"Q16_Part_1";"Q16_Part_2"
"In which country do you currently reside?";"What is your current yearly compensation (approximate $USD)?";"What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Python";"What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - R"
"United States of America";"";"";""
"Indonesia";"10-20,000";"";""
"United States of America";"0-10,000";"";"R"
"United States of America";"";"Python";"R"
"India";"0-10,000";"";""
"Colombia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Chile";"10-20,000";"";"R"
"India";"0-10,000";"Python";""
"Turkey";"";"Python";""
"Hungary";"20-30,000";"Python";""
"Ireland";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"125-150,000";"Python";""
"France";"30-40,000";"Python";"R"
"United States of America";"30-40,000";"Python";"R"
"Argentina";"10-20,000";"Python";"R"
"Japan";"30-40,000";"Python";""
"Colombia";"50-60,000";"";"R"
"Nigeria";"0-10,000";"Python";""
"United States of America";"100-125,000";"Python";""
"Spain";"30-40,000";"Python";""
"Other";"50-60,000";"";"R"
"Nigeria";"";"Python";""
"United States of America";"90-100,000";"Python";"R"
"Iran, Islamic Republic of...";"0-10,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"70-80,000";"Python";"R"
"Turkey";"0-10,000";"Python";""
"India";"0-10,000";"Python";"R"
"United States of America";"80-90,000";"Python";"R"
"Poland";"10-20,000";"";""
"Kenya";"10-20,000";"Python";""
"India";"";"Python";""
"Denmark";"70-80,000";"";""
"Netherlands";"100-125,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Sweden";"60-70,000";"Python";""
"Ukraine";"90-100,000";"Python";""
"India";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Canada";"30-40,000";"Python";""
"Australia";"80-90,000";"";"R"
"United States of America";"10-20,000";"Python";""
"United States of America";"400-500,000";"Python";""
"Japan";"40-50,000";"Python";""
"Other";"0-10,000";"Python";""
"India";"";"Python";"R"
"Russia";"10-20,000";"Python";""
"India";"0-10,000";"Python";""
"Iran, Islamic Republic of...";"0-10,000";"";""
"India";"0-10,000";"Python";"R"
"Austria";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Italy";"10-20,000";"Python";"R"
"Sweden";"70-80,000";"";"R"
"India";"0-10,000";"Python";""
"Canada";"125-150,000";"Python";""
"Mexico";"20-30,000";"";"R"
"Germany";"70-80,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Netherlands";"40-50,000";"Python";""
"United States of America";"50-60,000";"Python";""
"I do not wish to disclose my location";"50-60,000";"Python";""
"Sweden";"40-50,000";"Python";""
"Ukraine";"40-50,000";"Python";"R"
"Russia";"30-40,000";"Python";"R"
"United Kingdom of Great Britain and Northern Ireland";"";"Python";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"70-80,000";"Python";""
"Singapore";"30-40,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"100-125,000";"Python";"R"
"Spain";"40-50,000";"Python";"R"
"United States of America";"100-125,000";"Python";""
"United States of America";"100-125,000";"Python";""
"India";"30-40,000";"Python";"R"
"United States of America";"125-150,000";"Python";"R"
"France";"70-80,000";"Python";"R"
"Indonesia";"0-10,000";"Python";""
"France";"40-50,000";"Python";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Germany";"50-60,000";"Python";""
"Brazil";"100-125,000";"Python";"R"
"Switzerland";"";"Python";"R"
"Sweden";"70-80,000";"Python";"R"
"India";"0-10,000";"Python";""
"China";"30-40,000";"Python";""
"India";"0-10,000";"Python";"R"
"India";"0-10,000";"Python";""
"Spain";"20-30,000";"Python";""
"Ukraine";"50-60,000";"Python";""
"India";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"150-200,000";"Python";""
"United States of America";"60-70,000";"";"R"
"United States of America";"80-90,000";"";""
"United States of America";"125-150,000";"Python";""
"India";"20-30,000";"";"R"
"United States of America";"10-20,000";"Python";"R"
"Hungary";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"";"Python";"R"
"United States of America";"100-125,000";"";"R"
"United States of America";"125-150,000";"Python";""
"South Africa";"60-70,000";"Python";""
"Other";"0-10,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"40-50,000";"";"R"
"Netherlands";"0-10,000";"Python";"R"
"Italy";"30-40,000";"Python";""
"Argentina";"0-10,000";"Python";"R"
"Brazil";"10-20,000";"Python";""
"Spain";"";"Python";""
"United States of America";"40-50,000";"Python";"R"
"I do not wish to disclose my location";"";"Python";""
"China";"0-10,000";"Python";""
"India";"";"Python";""
"United States of America";"150-200,000";"Python";"R"
"India";"0-10,000";"Python";"R"
"Other";"40-50,000";"";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"India";"0-10,000";"Python";""
"Canada";"50-60,000";"Python";""
"China";"50-60,000";"Python";""
"Russia";"40-50,000";"Python";""
"United States of America";"10-20,000";"Python";""
"Mexico";"20-30,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"France";"40-50,000";"Python";""
"South Korea";"30-40,000";"Python";""
"India";"30-40,000";"Python";"R"
"Denmark";"0-10,000";"Python";""
"Germany";"I do not wish to disclose my approximate yearly compensation";"";""
"China";"100-125,000";"Python";"R"
"United States of America";"90-100,000";"Python";""
"Singapore";"I do not wish to disclose my approximate yearly compensation";"";""
"Malaysia";"10-20,000";"";""
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Hong Kong (S.A.R.)";"40-50,000";"Python";"R"
"Austria";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Egypt";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Russia";"30-40,000";"Python";""
"Japan";"90-100,000";"Python";""
"Spain";"150-200,000";"Python";""
"China";"0-10,000";"Python";"R"
"China";"0-10,000";"Python";""
"China";"0-10,000";"Python";""
"China";"10-20,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"30-40,000";"Python";"R"
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"40-50,000";"Python";""
"China";"0-10,000";"Python";""
"China";"0-10,000";"Python";""
"China";"0-10,000";"Python";""
"China";"10-20,000";"Python";"R"
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"20-30,000";"Python";""
"China";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"";"R"
"China";"0-10,000";"Python";""
"China";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"0-10,000";"Python";"R"
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"0-10,000";"Python";""
"China";"50-60,000";"Python";""
"China";"0-10,000";"Python";""
"China";"20-30,000";"Python";"R"
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
