"year";"month";"surface";"city";"district";"street";"n.rooms";"floor";"construction.date";"type";"offer.price";"transaction.price";"m2.price";"condition";"lat";"lon"
2008;1;20;"Warszawa";"Srodmiescie";"Bagno";1;7;1970;"hipoteczne";NA;210000;10500;"do remontu";52,229472;21,007614
2008;1;25;"Warszawa";"Pruszkow";"Pruszkow";1;1;1965;"spoldzielcze";NA;175000;7000;"do remontu";52,1716156005234;20,8063888549805
2008;1;26;"Warszawa";"Bielany";"Marymoncka";1;6;1964;"hipoteczne";NA;218000;8384;"do remontu";52,271139;20,950025
2008;1;27;"Warszawa";"Wola";"Sienna";1;1;1962;"spoldzielcze";NA;230000;8518;"dobry";52,2423796;20,9865915
2008;1;28;"Warszawa";"Mokotow";"Raclawicka";1;1;1950;"hipoteczne";250000;245000;8750;"do remontu";52,1981354;21,0175189
2008;1;28;"Warszawa";"Mokotow";"Miaczynska";2;4;1968;"spoldzielcze";NA;245000;8750;"dobry";52,1981354;21,0175189
2008;1;30;"Warszawa";"Srodmiescie";"Pl. Konstytucji";1;1;1952;"hipoteczne";320000;320000;10666;"dobry";52,229472;21,007614
2008;1;32;"Warszawa";"Mokotow";"Chelmska";2;3;2007;"hipoteczne";394000;392000;12250;"do wykonczenia";52,1981354;21,0175189
2008;1;32;"Warszawa";"Srodmiescie";"Al.Solidarnosci";1;7;1961;"hipoteczne";NA;290000;9062;"bardzo dobry";52,229472;21,007614
2008;1;34;"Warszawa";"Jozefoslaw";"Jozefoslaw";1;2;2003;"hipoteczne";NA;325000;9558;"bardzo dobry";52,1007059622223;21,0480880737305
2008;1;35;"Warszawa";"Bemowo";"Siemiatycka";2;3;1978;"spoldzielcze";NA;260000;7428;"dobry";52,2606416;20,9285078
2008;1;36;"Warszawa";"Wola";"Srebrna";2;6;1965;"hipoteczne";310000;250000;6944;"dobry";52,2423796;20,9865915
2008;1;36;"Warszawa";"Wola";"Zlota";2;5;1968;"spoldzielcze";NA;360000;10000;"dobry";52,2423796;20,9865915
2008;1;36;"Warszawa";"Praga Poludnie";"Pesztenska";2;5;1965;"spoldzielcze";NA;300000;8333;"dobry";52,2434082;21,0859957
2008;1;37;"Warszawa";"Bialoleka";"Paslecka";1;7;2005;"hipoteczne";NA;250000;6756;"dobry";52,3166667;21,0333333
2008;1;37;"Warszawa";"Mokotow";"Czerniakowska";2;7;1972;"spoldzielcze";NA;300000;8108;"dobry";52,1981354;21,0175189
2008;1;37;"Warszawa";"Zoliborz";"Dyminska";2;1;1969;"spoldzielcze";NA;265000;7162;"dobry";52,2689583807279;20,986440181732
2008;1;37;"Warszawa";"Zoliborz";"Broniewskiego";2;8;1972;"spoldzielcze";NA;279000;7540;"dobry";52,2689583807279;20,986440181732
2008;1;38;"Warszawa";"Praga Poludnie";"Wiosenna";2;NA;1971;"spoldzielcze";NA;250000;6578;"dobry";52,2434082;21,0859957
2008;1;40;"Warszawa";"Mokotow";"Narbutta";2;1;1925;"hipoteczne";489000;478000;11950;"bardzo dobry";52,1981354;21,0175189
2008;1;40;"Warszawa";"Bielany";"Zeromskiego";2;3;1970;"hipoteczne";NA;320000;8000;"dobry";52,271139;20,950025
2009;3;55;"Warszawa";"Mokotow";"Bacha";3;3;1974;"spol.wlasn.";NA;395000;7181;"do remontu";52,1981354;21,0175189
2008;1;41;"Warszawa";"Mokotow";"Sobieskiego";2;3;1961;"spoldzielcze";330000;310000;7560;"dobry";52,1981354;21,0175189
2008;1;42;"Warszawa";"Mokotow";"Batumi";2;1;1970;"spoldzielcze";NA;320000;7619;NA;52,1981354;21,0175189
2008;1;44;"Warszawa";"Srodmiescie";"Okrag";2;3;1966;"spoldzielcze";447000;440000;10000;"bardzo dobry";52,229472;21,007614
2008;1;44;"Warszawa";"Srodmiescie";"al. Jana Pawla II";2;3;1966;"hipoteczne";498000;485200;10903;"bardzo dobry";52,229472;21,007614
2008;1;47;"Warszawa";"Ursynow";"Cybisa";2;5;1978;"spoldzielcze";NA;360000;7659;"dobry";52,1546202;21,0339492
2008;1;48;"Warszawa";"Wola";"Olbrachta";2;1;2007;NA;399000;399000;8312;"do wykonczenia";52,2423796;20,9865915
2008;1;50;"Warszawa";"Wola";"Zytnia";2;3;1952;"hipoteczne";476000;466000;9227;"bardzo dobry";52,2423796;20,9865915
2008;1;53;"Warszawa";"Mokotow";"Pejzazowa";2;10;2005;"hipoteczne";510000;503000;9490;"dobry";52,1981354;21,0175189
